ID,Holiday,Temp,Rain,Snow,Cloud,Weather Main,Weather Detail,Date Time,Traffic Volume
29858,None,278.22,0,0,90,Drizzle,"A light drizzle, wettish coolness, fragrant air, twittering birds, no tourists, few locals, you don't even realise you've been walking for a couple of hours",3/31/2016 22:00,2998
6856,None,271.37,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",3/25/2018 7:00,1158
1176,None,259.04,0,0,90,Clouds,"Though the overcast sky threatens rain at some later point in the day, the early afternoon is still pleasant enough for sitting outdoors.",1/21/2013 16:00,4561
5670,None,290.02,0.25,0,90,Drizzle,The sky above is now clouded as a light drizzle begins to fall to the ground,8/19/2015 0:00,581
43856,None,289.3,0,0,20,Clouds,"The sky is a beachscape in tans and blues, with a few clouds in the background",6/30/2016 2:00,313
13657,None,273.79,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",4/12/2013 19:00,3716
40097,None,275.01,0,0,90,Rain,"As if on cue, there was a soft thunderclap and a light rain started",4/5/2016 11:00,4793
26471,None,286.52,0,0,1,Rain,The forecasters are split between light rain and dryish gloom for today afternoon but come together again on the longer-term prospects,10/20/2015 23:00,957
32676,None,280.07,0,0,75,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",4/19/2014 5:00,626
25795,None,295.7,0,0,90,Clouds,"It is a grey day with an overcast sky, the sort of day when nothing looks very good",7/24/2016 5:00,631
17059,None,284.79,1.4,0,75,Thunderstorm,"Normally, the air that's moving down on the city, called a downdraft, shares the proximity thunderstorm with the updraft.",4/24/2016 22:00,1609
13910,None,271.16,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",2/7/2016 18:00,2195
38638,None,277.43,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",3/18/2018 19:00,3174
9580,None,292.08,0,0,90,Thunderstorm,"A proximity thunderstorm has hit the city with no warning and we lay soaked, silent and shivering with cold as the lightning and thunder crashed around us",5/15/2017 12:00,4768
37454,None,267.84,0,0,90,Snow,light snow caused traffic disruption in some parts of the city,2/25/2018 1:00,510
33563,None,289.75,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",11/1/2016 15:00,5271
32960,None,295.51,0,0,0,Clear,It is afternoon and the sun is baking down from a clear sky,10/1/2016 15:00,4361
12041,None,296.48,0,0,0,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",7/12/2013 10:00,4997
46322,None,281.35,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",3/28/2018 18:00,4918
33157,None,286.55,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",9/1/2016 3:00,203
41572,None,270.74,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",1/8/2013 6:00,5674
21675,None,268.15,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",11/10/2017 17:00,5412
1782,None,262.01,0,0,90,Clouds,"A fine, misty rain is falling lightly from the overcast sky, which hangs in a looming shade of dull grey",2/24/2014 16:00,5983
25644,None,275.02,0,0,90,Clouds,"Despite overcast skies, the rain is holding off and the day can be enjoyed by all",2/15/2018 13:00,4960
19134,None,300.26,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",9/14/2015 18:00,4331
33636,None,286.59,0.25,0,1,Rain,The forecasters are split between light rain and dryish gloom for today afternoon but come together again on the longer-term prospects,8/29/2018 23:00,1272
2172,None,295.28,0,0,75,Clouds,"Grey broken clouds rolled in from the south, deep rumbles of thunder accompanying them.",5/24/2018 8:00,5695
45913,None,285.77,0.25,0,1,Fog,"The lowering clouds develop into thick fog, then break into dazzling sunlight",6/8/2014 8:00,2271
29,None,270.94,0,0,0,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",11/17/2012 3:00,404
1948,None,272.09,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",1/25/2017 10:00,3846
18784,None,294.47,0,0,36,Clouds,You can now only see scattered clouds remaining in the sky,6/29/2013 10:00,4024
17759,None,302.28,0,0,40,Clouds,You can now only see scattered clouds remaining in the sky,7/27/2015 17:00,5615
31920,None,291.15,0,0,90,Drizzle,The heavy drizzle lashing the City since Saturday have left a wide swathe of traffic and commotion,7/20/2018 4:00,873
34589,None,272.98,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",1/8/2016 9:00,4749
17751,None,289.2,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",9/19/2015 11:00,4587
23207,None,294.06,0,0,80,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",7/15/2013 6:00,6103
45716,None,273.89,0,0,20,Clouds,"The sky is a beachscape in tans and blues, with a few clouds in the background",2/13/2013 14:00,5313
10606,None,279.81,0,0,40,Clouds,"The scattered clouds separate, revealing patches of bare sky.",3/27/2017 11:00,4549
37145,None,280.33,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",4/23/2016 0:00,1677
17169,None,279.21,0,0,90,Drizzle,"It'll be cold, it'll be dark, it'll be cloudy, and light drizzle is threatened",11/1/2012 23:00,1222
3908,None,271.63,2.03,0,90,Rain,"It has started pouring down now into what looks like moderate rain, be on the lookout before you head out",4/3/2014 23:00,1100
16692,None,288.81,0,0,90,Rain,The forecasters are split between light rain and dryish gloom for today afternoon but come together again on the longer-term prospects,8/19/2015 11:00,4802
32136,None,249.52,0,0,40,Clouds,You can now only see scattered clouds remaining in the sky,3/2/2014 2:00,510
42461,None,283.06,0,0,92,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",10/14/2013 12:00,4696
31912,None,289.87,0,0,5,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",9/12/2017 9:00,5633
14906,None,262.45,0,0,90,Haze,"A few blots of cloud were on the blue morning sky, with light haze beneath",1/2/2018 18:00,3625
5555,None,283.73,0,0,44,Clouds,You can now only see scattered clouds remaining in the sky,5/15/2014 15:00,6224
9717,None,282.23,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",10/15/2015 22:00,2048
8307,None,285.29,0,0,90,Rain,Meanwhile the city is experiencing moderate rain,4/21/2016 8:00,6303
6910,None,289.28,0,0,75,Rain,Meanwhile the city is experiencing moderate rain,5/29/2017 18:00,3333
36123,None,295.83,0,0,40,Clouds,"The scattered clouds separate, revealing patches of bare sky.",7/13/2016 8:00,5598
44702,None,256.15,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",12/29/2017 14:00,4750
17734,None,255.69,0,0,90,Clouds,"It is a grey day with an overcast sky, the sort of day when nothing looks very good",2/5/2014 1:00,298
27957,None,301.91,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,7/5/2014 17:00,3247
35637,None,302.03,0,0,0,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",8/26/2013 11:00,5140
40893,None,272.79,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",4/10/2018 10:00,4436
2553,None,273.09,0,0,90,Clouds,"Despite overcast skies, the rain is holding off and the day can be enjoyed by all",12/2/2016 11:00,5050
5669,None,291.57,0,0,0,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",8/13/2013 9:00,5228
2703,None,276.8,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",12/2/2012 20:00,2319
23726,None,300.51,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",8/11/2018 20:00,3362
44385,None,293.56,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",9/7/2016 2:00,227
19794,None,265.17,0,0,90,Snow,"Heavy snow blanketed the streets of north part of city today, causing traffic chaos and forcing the closure of schools",12/11/2012 0:00,450
12994,None,290.95,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",6/26/2018 6:00,5381
28100,None,293.86,0,0,75,Clouds,"Thunder rumbled ominously in the distance, and lightning lit up the underbellies of the broken clouds to the far south.",8/17/2017 21:00,2844
18119,None,306.37,0,0,0,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",7/20/2016 17:00,5396
45582,None,287.49,0,0,20,Clouds,"The sky is a beachscape in tans and blues, with a few clouds in the background",6/1/2016 5:00,3160
39425,None,284.21,0,0,0,Clear,It is afternoon and the sun is baking down from a clear sky,10/16/2013 15:00,6088
39843,None,297.09,0,0,90,Clouds,"Though the overcast sky threatens rain at some later point in the day, the early afternoon is still pleasant enough for sitting outdoors.",7/25/2014 22:00,2756
13113,None,251.76,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",12/17/2016 21:00,2262
22957,None,288.8,0,0,20,Clouds,"Outside, thunder crashed, though there are few clouds in the day sky",4/6/2014 18:00,3525
47674,None,291.58,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",7/13/2017 2:00,330
5098,None,296.68,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,8/23/2016 10:00,4257
80,None,290.19,0,0,12,Clouds,"Outside, thunder crashed, though there are few clouds in the day sky",5/7/2014 17:00,6447
2416,None,293.5,0,0,20,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",8/3/2016 6:00,5194
38683,None,274.88,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",12/5/2012 4:00,783
848,None,284.905,0,0,0,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",5/2/2018 22:00,1721
34099,None,284.02,0,0,90,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,10/14/2017 18:00,4564
25813,None,268.89,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",12/8/2012 3:00,356
8729,None,249.16,0,0,40,Snow,"Farther northeast, light snow extends from much through the city",1/5/2014 17:00,2621
37952,None,271.58,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",3/8/2018 15:00,5983
17083,None,275.15,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",1/21/2018 22:00,1481
34455,None,265.39,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",11/26/2013 18:00,4463
4436,None,290.08,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",5/7/2017 15:00,4548
10924,None,275.08,0,0,90,Rain,Meanwhile the city is experiencing moderate rain,12/23/2016 10:00,4365
34865,None,285.44,0,0,40,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",8/31/2016 7:00,6111
41560,None,282.22,0,0,90,Fog,"The lowering clouds develop into thick fog, then break into dazzling sunlight",3/14/2016 5:00,2776
8159,None,267.15,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",2/18/2014 6:00,5221
4039,None,295.6,2.76,0,90,Rain,But huge traffic delays and heavy rain led to visitors complaining about muddy pathways and uneven road surfaces,9/4/2018 16:00,5667
21083,None,293.59,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",9/2/2016 11:00,4969
18453,None,272.36,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",4/2/2013 14:00,5358
10747,None,274.46,0,0,1,Haze,A blue haze is cast over the city as the last moonbeam pierced the skies,2/26/2013 15:00,5948
45818,None,280,0,0,90,Clouds,"A fine, misty rain is falling lightly from the overcast sky, which hangs in a looming shade of dull grey",10/5/2012 11:00,5217
7369,None,287.68,0,0,90,Rain,The light rain has laid the dust and little is lifted by your wheels as you drive,8/23/2015 8:00,1761
25706,None,296.26,16,0,32,Rain,"Meanwhile, heavy rain, recorded at 59.2 mm by the Met Department, flooded several areas and uprooted trees in various parts of the City",7/10/2013 8:00,6298
12340,None,274.53,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,3/9/2013 20:00,2579
25750,None,298.79,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,7/2/2013 11:00,5031
47994,None,281.22,0,0,40,Clouds,"The scattered clouds separate, revealing patches of bare sky.",12/2/2017 14:00,5177
39736,None,276.75,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",11/18/2016 13:00,4409
27795,None,275.17,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",12/16/2012 15:00,3884
18298,None,273.21,0,0,90,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,11/25/2016 22:00,2069
45017,None,276.16,0,0,75,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",10/30/2012 10:00,4626
1987,None,292.94,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",8/30/2015 23:00,1221
37797,None,257.18,0,0,64,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",12/5/2013 17:00,5075
26465,None,259.9,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",1/29/2018 20:00,2957
2288,None,290.22,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",6/28/2017 7:00,5320
21611,None,279.35,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",11/15/2017 5:00,3011
6494,None,285.59,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",10/8/2015 17:00,6032
19367,None,294.27,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",6/30/2016 9:00,4751
1751,None,291.94,0,0,90,Rain,Meanwhile the city is experiencing moderate rain,8/9/2017 16:00,6584
42000,None,293.931,0,0,8,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",7/15/2016 19:00,3471
27566,None,259.65,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,2/9/2016 9:00,5151
31827,None,252.77,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",1/29/2014 4:00,771
4746,None,259.36,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",2/9/2018 4:00,826
29886,None,294.035,0,0,68,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",7/14/2016 12:00,4738
11620,None,295.58,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",9/6/2018 17:00,6008
23698,None,273.02,0,0,90,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,1/2/2017 18:00,2875
3407,None,298,0,0,75,Clouds,"The day is a windy one, with broken clouds drifting swiftly across the face of a three-quarter moon",8/5/2018 21:00,2735
1540,None,262.15,0,0,64,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",12/13/2013 7:00,6261
9744,None,261.01,0,0,90,Snow,light snow caused traffic disruption in some parts of the city,1/20/2016 5:00,2593
1529,None,281.86,0,0,75,Clouds,"Thunder rumbled ominously in the distance, and lightning lit up the underbellies of the broken clouds to the far south.",10/26/2017 9:00,5535
36916,None,274.8,0,0,90,Mist,"The day dawned gray and chill, a thin mist turning city's usually dry air damp",1/12/2013 6:00,1142
38880,None,273.55,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",2/16/2016 14:00,5168
42690,None,287.19,0,0,1,Fog,"The span of the city highway, covered in fog, hints at the approach of winter",9/26/2015 1:00,782
10663,None,277,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",3/24/2018 19:00,3788
1927,None,267.95,0,0,75,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",12/21/2017 19:00,3242
6729,None,293.91,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",9/13/2018 0:00,699
14031,None,259.94,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",12/23/2012 0:00,1063
27978,None,253.16,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",12/17/2016 20:00,2256
23294,None,271.95,0,0,90,Haze,"A few blots of cloud were on the blue morning sky, with light haze beneath",3/1/2017 3:00,375
24210,None,292.86,0,0,90,Rain,Meanwhile the city is experiencing moderate rain,6/19/2018 18:00,4546
28551,None,301.69,0,0,40,Haze,"The early morning sun rose into the sky, its beauty and gracefulness covered by haze",7/4/2015 17:00,2809
36978,None,299.89,0,0,88,Clouds,"Though the overcast sky threatens rain at some later point in the day, the early afternoon is still pleasant enough for sitting outdoors.",7/11/2014 18:00,4658
34772,None,293.64,13.64,0,90,Rain,"Meanwhile, the weather bureau says south-east part of the city should enjoy heavy rain this morning while it lasts",7/18/2015 1:00,696
26730,None,284.38,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",11/17/2015 16:00,6368
37717,None,275.89,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,4/12/2017 1:00,359
33126,None,274.07,0,0,75,Clouds,"Thunder rumbled ominously in the distance, and lightning lit up the underbellies of the broken clouds to the far south.",2/7/2016 5:00,516
15248,None,255.78,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",2/24/2014 4:00,889
34925,None,285.87,6.35,0,36,Rain,"Meanwhile, heavy rain, recorded at 59.2 mm by the Met Department, flooded several areas and uprooted trees in various parts of the City",5/8/2014 0:00,586
46214,None,260.95,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",4/5/2018 4:00,910
15750,None,287.23,0,0,90,Clouds,"Despite overcast skies, the rain is holding off and the day can be enjoyed by all",7/13/2017 9:00,4959
41515,None,275.22,0,0,90,Rain,"As if on cue, there was a soft thunderclap and a light rain started",3/17/2016 4:00,887
2232,None,303.35,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",7/11/2018 14:00,4974
46484,None,290.89,0,0,20,Clouds,"The sky is a beachscape in tans and blues, with a few clouds in the background",6/6/2016 10:00,4642
317,None,260.48,0,0,90,Snow,"Farther northeast, light snow extends from much through the city",12/14/2013 2:00,506
18458,None,266.47,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",1/9/2016 0:00,1107
27678,None,294.64,0.51,0,36,Rain,It's also good that light rain has sheltered in most parts by the city,6/12/2013 12:00,4989
11592,None,291.61,0,0,20,Clouds,"Outside, thunder crashed, though there are few clouds in the day sky",7/17/2018 8:00,5455
14613,None,275.22,0,0,90,Clouds,"Though the overcast sky threatens rain at some later point in the day, the early afternoon is still pleasant enough for sitting outdoors.",4/8/2013 8:00,6291
27108,None,268.65,0,0,40,Clouds,You can now only see scattered clouds remaining in the sky,12/8/2012 4:00,418
43426,None,263.31,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",2/12/2014 3:00,336
24378,None,278.22,0,0,1,Clear,"Much as I delight in really dramatic sunsets, there's a special, quiet joy to be had when the sky is clear of clouds",3/22/2016 1:00,383
46235,None,290.74,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",8/28/2015 1:00,427
34609,None,297.61,0,0,20,Clouds,"The sky is a beachscape in tans and blues, with a few clouds in the background",6/20/2016 15:00,5597
14889,None,280.87,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",4/27/2014 0:00,1062
34019,None,250.9,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",1/6/2017 0:00,731
37821,None,294.22,0,0,90,Thunderstorm,"Earlier, the city highway was closed following a spell of thunderstorm and light rain",7/3/2018 7:00,5737
11345,None,279.37,0,0,64,Clouds,"The broken clouds remained, lightning continued to strike, and thunder continued to rumble, but there was no rain.",11/19/2013 22:00,1685
27395,None,299.76,0,0,1,Clear,It is afternoon and the sun is baking down from a clear sky,7/22/2015 18:00,4550
42031,None,299.69,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",4/30/2018 20:00,2673
43255,None,271.41,0,0,90,Snow,light snow caused traffic disruption in some parts of the city,12/2/2015 8:00,5886
20478,None,289.99,0,0,0,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",9/25/2013 21:00,2673
45897,None,300.54,0,0,75,Clouds,"Thunder rumbled ominously in the distance, and lightning lit up the underbellies of the broken clouds to the far south.",5/27/2018 23:00,1660
39006,None,274.47,0,0,90,Fog,"We see the northern coast and the southern end of the city, both faint and shadowy in the fog and distance",11/16/2016 3:00,347
17545,None,285.06,0.59,0,90,Rain,"It has started pouring down now into what looks like moderate rain, be on the lookout before you head out",5/11/2016 13:00,4966
47488,None,286.89,0.25,0,75,Mist,A mist lightly dusts the thick greenery of the trees that cover the surrounding hills,9/21/2018 5:00,2919
24238,None,275.29,0,0,90,Clouds,"There is a slight overcast of clouds, but the predicted rain is yet to come.",2/28/2017 3:00,335
40165,None,281.639,0,0,0,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",10/6/2016 3:00,324
567,None,275.26,0,0,64,Clouds,"Thunder rumbled ominously in the distance, and lightning lit up the underbellies of the broken clouds to the far south.",11/14/2013 1:00,375
3190,None,295.92,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",8/31/2016 19:00,2575
9669,None,289.58,0,0,1,Clear,"Looking out the window, the sun is low in the clear sky, but it's still a few of hours until nightfall",5/17/2018 3:00,364
796,None,297.83,0,0,40,Clouds,"Flying conditions are similar during the day, mainly under sunny skies and scattered clouds with some periods of high or low overcast",7/10/2017 12:00,4751
36676,None,256.59,0,0,5,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",1/12/2017 19:00,3185
25630,None,270.72,0,0,75,Snow,light snow caused traffic disruption in some parts of the city,3/1/2017 21:00,2439
43357,None,269.74,0,0,90,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",12/17/2012 9:00,5053
29787,None,265.15,0,0,90,Clouds,"Though the overcast sky threatens rain at some later point in the day, the early afternoon is still pleasant enough for sitting outdoors.",3/26/2014 8:00,5909
24679,None,287.99,0,0,1,Mist,"The mist spreads, smooth despite its writhen mass, dividing neatly and travelling down in four directions",7/31/2018 5:00,2764
37772,None,269.82,0,0,20,Clouds,"The sun is shaded by a few clouds, but ever now and then it peeks out from beneath them, bringing a warm beam down to the city",3/4/2017 7:00,1507
46007,None,279.61,0,0,1,Clear,"By first light on race day, the sky is clear, and it's already pushing 80 degrees",11/24/2017 8:00,2480
10783,None,287.98,0,0,1,Clear,"The sky is clear and blue, with a few odd clouds scattered here and there for effect",6/4/2014 5:00,2995
